descripcion,id,titular
"El lateral izquierdo del Villarreal español es hombre de confianza del seleccionador de Ecuador, Gustavo Alfaro.",[0],Estupiñán es el segundo futbolista de campo que más minutos ha jugado en la eliminatoria rumbo a Catar; Carlos Gruezo el quinto
"Tras la derrota en el Capwell, ‘Palillo’ dice que añora ver a un equipo azul ‘de juego rápido, vistoso, creativo y que en el actual ‘sé corre mucho’.",[1],Carlos Torres Garcés:  Emelec pudo ser goleado por Delfín SC; la salida de Ismael Rescalvo costaría mucho dinero
La raqueta número uno de Ecuador apunta a revalidar su título en abril próximo.,[2],"Challenger de Salinas: Emilio Gómez, campeón vigente, lidera lista de inscritos"
Las últimas dos fechas de las Eliminatorias Sudamericanas se jugarán en tres días con la mayoría de los juegos de manera simultánea.,[3],Eliminatorias sudamericanas: Horarios y canales para ver en vivo los partidos de las fechas 17 y 18
"El lateral izquierdo del Villarreal español es hombre de confianza del seleccionador de Ecuador, Gustavo Alfaro.",[4],Estupiñán es el segundo futbolista de campo que más minutos ha jugado en la eliminatoria rumbo a Catar; Carlos Gruezo el quinto
La Tricolor que dirige el argentino Gustavo Alfaro para nada puede confiarse en su visita ante Paraguay.,[5],"Selección de Ecuador, a un paso de conseguir este jueves su boleto directo a Catar 2022 por Sudamérica "
Un breve repaso de la situación de los diez equipos de Conmebol que disputan el premundial de Qatar 2022 antes de las dos fechas finales.,[6],Eliminatorias sudamericanas: ¿cómo llegan las selecciones a los partidos?
La estrella albiceleste hará su primer entrenamiento con selección esta tarde en Ezeiza.,[7],Messi llegó a Argentina y se alista para enfrentar a Ecuador y Venezuela por la eliminatoria sudamericana a Catar 2022
"Aunque la mayoría de los puntos de El Tri han sido en casa, ha sacado ocho en la carretera, mientras que los guaraníes solo han ganado seis en su casa.",[8],¿Ecuador clasificará al Mundial de Catar 2022 en Paraguay?
En la fecha del sorteo se conocerán 29 de las 32 selecciones participantes en el Mundial.,[9],Quiénes son las cabezas de serie de Sudamérica para el sorteo del Mundial de Catar
"Barcelona Sporting Club, líder, es el único invicto del campeonato ecuatoriano de fútbol 2022.",[10],Así queda la tabla de posiciones de la LigaPro tras finalizar la fecha 5
Español regresó a su país este martes tras perder la final de Indian Wells frente al estadounidense Taylor Fritz.,[11],Rafael Nadal sufre una fisura de estrés del tercer arco costal izquierdo y será de baja entre cuatro y seis semanas
